!Xóõ	[u'ko']
'k	[u'/(\u0259)k/', u'/(\u0259)k/']
's	[u'/s/']
's anderendaags	[u"/s\u0251nd\u0259r\u0259n'daxs/"]
's daags	[u'/\u02c8sta\u02d0xs/']
's morgens	[u"/'sm\u0254r.\u0263\u0259ns/"]
's nachts	[u'/sn\u0251xs/', u'/sn\u0251x\u02a6/']
's weekends	[u'/\u02c8s\u028bik\u025bnts/', u'/\u02c8s\u03b2\u031eik\u025bnts/', u'/\u02c8s\u028di\u02d0g\u0259nds/']
's zomers	[u'/\u02c8som\u0259rs/']
's-Gravenhage	[u'/\u02ccs\u03c7rav\u0259(n)\u02c8\u0266a\u03c7\u0259/', u'/\u02ccsxra\u02d0v\u0259(n)\u02c8\u0266a\u02d0\u0263\u0259/']
's-Hertogenbosch	[u'/\u02ccs\u025brto\u03c7\u0259(m)\u02c8b\u0254s/', u'/\u02ccs\u025brto\u028a\u032f\u03c7\u0259(m)\u02c8b\u0254s/', u'/\u02ccs\u025brto\u0263\u0259(m)\u02c8b\u0254s/', u'/\u02ccs\u025b\u0281t\u0259\u028a\u032f\u0263\u0259(m)\u02c8b\u0252s/']
't	[u'/(\u0259)t/', u'/\u0259t/', u'/(\u0259)t/']
-aat	[u'/at/']
-baar	[u'/bar/']
-d	[u'/d/', u'/t/']
-der	[u'/d\u0259r/']
-e-	[u'/\u0259/']
-el	[u'/-\u0259\u026b/', u'/-\u0254\u026b/', u'/-\u0259\u026b/', u'/-\u0259l/']
-en	[u'/\u0259n/']
-en-	[u'/\u0259/', u'/\u0259n/']
-er-	[u'/\u0259r/']
-erwijs	[u'/-\u0259r\u02c8\u028b\u025b\u026as/']
-heid	[u'/-\u0266\u025b\u026at/']
-ing	[u'/\u026a\u014b/']
-isme	[u'/\u02c8\u026asm\u0259/']
-jes	[u'/-j\u0259s/', u'/-c\u0259s/', u'/-', u'/-j\u0259s/']
-ling	[u'/l\u026a\u014b/']
-loos	[u'/-los/']
-n-	[u'/n/']
-nis	[u'/n\u026as/', u'/n\u0259s/']
-s	[u'/s/']
-s-	[u'/s/']
-schap	[u'/sx\u0251p/']
-st	[u'/st/']
-ste	[u'/-st\u0259/']
-t	[u'/t/']
-te	[u'/t\u0259/']
-zaam	[u'/zam/']
06-nummer	[u"/n\u0275l'z\u025bsn\u0275m\u0259r/", u"/n\u028fl'z\u025bsn\u028fm\u0259r/"]
a	[u'/a/']
A	[u'/a/']
a goet jor	[u"/a \u0261ut 'j\u0254r/"]
